"GT_F/A"	"GT_F/(M+F)"	"BLS_Data"
0.0909090909	0.1428571429	0.289
0	0	0.289
0.2727272727	0.375	0.68
0.0909090909	0.125	0.289
0.1818181818	0.2857142857	0.289
0.1818181818	0.2222222222	0.421
0	0	0.421
0	0	0.421
0	0	0.289
0.0909090909	0.1	0.289
0.2727272727	0.4285714286	0.289
0.0909090909	0.1666666667	0.289
0.1818181818	0.3333333333	0.289
0.2727272727	0.5	0.289
0.2727272727	0.4285714286	0.289
0	0	0.377
0	0	0.528
0	0	0.528
0	0	0.191
0.0909090909	0.125	0.191
0.2727272727	0.5	0.243
0.1818181818	0.2857142857	0.581
0.0909090909	0.1111111111	0.289
0.2727272727	0.375	0.289
0.0909090909	0.1111111111	0.325
0.0909090909	0.1111111111	0.289
0.0909090909	0.1111111111	0.289
0	0	0.289
0	0	0.289
0	0	0.289
0.0909090909	0.1666666667	0.289
0	0	0.289
0	0	0.289
0	0	0.289
0.0909090909	0.1666666667	0.289
0.1818181818	0.2857142857	0.289
0	0	0.289
0	0	0.289
0.1818181818	0.25	0.289
0.0909090909	0.1428571429	0.289
0.6363636364	1	0.289
0.0909090909	0.1428571429	0.289
0.2727272727	0.375	0.289
0.3636363636	0.5714285714	0.289
0	0	0.289
0.1818181818	0.25	0.289
0.1818181818	0.2857142857	0.289
0.2727272727	0.375	0.14
0	0	0.289
0	0	0.289
0.0909090909	0.1428571429	0.289
0	0	0.379
0.1818181818	0.25	0.289
0.0909090909	0.125	0.289
0.2727272727	0.4285714286	0.289
0	0	0.289
0.1818181818	0.2857142857	0.289
0.1818181818	0.25	0.289
0.1818181818	0.2857142857	0.289
0.0909090909	0.1428571429	0.289
0	0	0.289
0.1818181818	0.2857142857	0.289
0	0	0.289
0.2727272727	0.375	0.68
0.0909090909	0.1428571429	0.289
0.1818181818	0.3333333333	0.289
0.2727272727	0.4285714286	0.289
0.0909090909	0.125	0.289
0	0	0.05
0.2727272727	0.375	0.243
0.0909090909	0.1428571429	0.631
0.0909090909	0.1428571429	0.289
0.1818181818	0.2857142857	0.289
0.0909090909	0.1428571429	0.289
0.0909090909	0.1666666667	0.289
0	0	0.289
0.0909090909	0.1428571429	0.289
0.2727272727	0.5	0.289
0.0909090909	0.1428571429	0.289
0	0	0.289
0.1818181818	0.2857142857	0.289
0	0	0.289
0	0	0.289
0.1818181818	0.25	0.205
0.1818181818	0.25	0.205
0	0	0.289
0.1818181818	0.2857142857	0.289
0	0	0.289
0.2727272727	0.375	0.14
0.1818181818	0.25	0.289
0	0	0.289
0.2727272727	0.4285714286	0.289
0.1818181818	0.3333333333	0.289
0	0	0.289
0.0909090909	0.1428571429	0.289
0.0909090909	0.125	0.289
0	0	0.631
0.1818181818	0.2857142857	0.289
0.2727272727	0.4285714286	0.289
0.0909090909	0.1428571429	0.528
0.0909090909	0.1428571429	0.528
0.3636363636	0.4	0.126
0.2727272727	0.4285714286	0.289
0.2727272727	0.4285714286	0.289
0.2727272727	0.4285714286	0.289
0.0909090909	0.1	0.289
0.1818181818	0.25	0.289
0	0	0.289
0.0909090909	0.1666666667	0.289
0	0	0.289
0.0909090909	0.125	0.289
0.1818181818	0.2222222222	0.289
0.2727272727	0.4285714286	0.289
0.2727272727	0.4285714286	0.289
0.0909090909	0.125	0.289
0.0909090909	0.1428571429	0.289
0.1818181818	0.2857142857	0.289
0.2727272727	0.4285714286	0.205
0.0909090909	0.1666666667	0.289
0.1818181818	0.2857142857	0.289
0.2727272727	0.5	0.289
0.0909090909	0.125	0.289
0.1818181818	0.2222222222	0.14
0.0909090909	0.1111111111	0.243
0	0	0.289
0	0	0.289
0	0	0.289
0	0	0.289
0.0909090909	0.125	0.289
0.0909090909	0.125	0.289
0	0	0.11
0	0	0.289
