Occupation	Total employed (Thousands)	Women	Original
Drawing machine tender	19	-	Extruding and drawing machine setters, operators, and tenders, metal and plastic
Dredge operator	30	-	Dredge, excavating, and loading machine operators
Dressmakers	77	75.9	Tailors, dressmakers, and sewers
Drier operator	10	-	Furnace, kiln, oven, drier, and kettle operators and tenders
Drier tender	10	-	Furnace, kiln, oven, drier, and kettle operators and tenders
Drilling machine tool operator	4	-	Drilling and boring machine tool setters, operators, and tenders, metal and plastic
Drilling machine tool setter	4	-	Drilling and boring machine tool setters, operators, and tenders, metal and plastic
Drilling machine tool tender	4	-	Drilling and boring machine tool setters, operators, and tenders, metal and plastic
Driver	3,506	6.2	Driver/sales workers and truck drivers
Dry-cleaning worker	151	68	Laundry and dry-cleaning workers
Drying machine operator	12	-	Food and tobacco roasting, baking, and drying machine operators and tenders
Drying machine tender	12	-	Food and tobacco roasting, baking, and drying machine operators and tenders
Drywall installer	156	2.7	Drywall installers, ceiling tile installers, and tapers
Earth driller	23	-	Earth drillers, except oil and gas
Economist	28	-	Economists
Editor	174	54.1	Editors
Education administrator	918	64.2	Education administrators
Education Director	81	54.1	Directors, religious activities and education
Electric motor repairers	28	-	Electric motor, power tool, and related repairers
Electrical assembler	128	42.1	Electrical, electronics, and electromechanical assemblers
Electrical engineer	284	12.3	Electrical and electronics engineers
Electrical power-line installer	129	0.6	Electrical power-line installers and repairers
Electrical power-line repairer	129	0.6	Electrical power-line installers and repairers
Electrician	857	2.5	Electricians
Electromechanical assembler	128	42.1	Electrical, electronics, and electromechanical assemblers
Electronic home entertainment equipment installer	50	2.8	Electronic home entertainment equipment installers and repairers
Electronic home entertainment equipment repairer	50	2.8	Electronic home entertainment equipment installers and repairers
Electronics assemblers	128	42.1	Electrical, electronics, and electromechanical assemblers
Electronics engineer	284	12.3	Electrical and electronics engineers
Elementary school teacher	3,268	79.3	Elementary and middle school teachers
Elevator installer	40	-	Elevator installers and repairers
Elevator repairer	40	-	Elevator installers and repairers
Eligibility interviewer	62	76.7	Eligibility interviewers, government programs
Embalmer	17	-	Embalmers and funeral attendants
Emergency management director	11	-	Emergency management directors
Emergency medical technician	223	30.6	Emergency medical technicians and paramedics
Engine assembler	13	-	Engine and other machine assemblers
Engineer	582	14.1	Engineers, all other
Engineering manager	129	8.7	Architectural and engineering managers
Engineering technician	375	20	Engineering technicians, except drafters
Engraver	11	-	Etchers and engravers
Entertainer	67	48.1	Entertainers and performers, sports and related workers, all other
Entertainment attendant	224	42.9	Miscellaneous entertainment attendants and related workers
Environmental engineer	38	-	Environmental engineers
Environmental scientist	84	35.8	Environmental scientists and geoscientists
Equipment cleaner	331	14	Cleaners of vehicles and equipment
Etcher	11	-	Etchers and engravers
Event planner	137	85.1	Meeting, convention, and event planners
Excavating machine operator	30	-	Dredge, excavating, and loading machine operators
Exercise physiologist	5	-	Exercise physiologists
Expediting clerk	270	53.9	Production, planning, and expediting clerks
Explosives worker	10	-	Explosives workers, ordnance handling experts, and blasters
Extraction worker helper	4	-	Helpers--extraction workers
Extruding machine operator	21	-	Extruding, forming, pressing, and compacting machine setters, operators, and tenders
Extruding machine setter	21	-	Extruding, forming, pressing, and compacting machine setters, operators, and tenders
Extruding machine tender	21	-	Extruding, forming, pressing, and compacting machine setters, operators, and tenders
Fabric patternmaker	3	-	Fabric and apparel patternmakers
Fabricator	1,033	37.7	Miscellaneous assemblers and fabricators
Farm products buyer	11	-	Buyers and purchasing agents, farm products
Farm products purchasing agent	11	-	Buyers and purchasing agents, farm products
Farmer	1,018	25.2	Farmers, ranchers, and other agricultural managers
Fence erector	34	-	Fence erectors
File clerk	182	81.4	File clerks
Filling machine operator	292	52.8	Packaging and filling machine operators and tenders
Filling machine tender	292	52.8	Packaging and filling machine operators and tenders
Financial analyst	309	36.5	Financial analysts
Financial clerk	82	60.8	Financial clerks, all other
Financial examiner	15	-	Financial examiners
Financial manager	1,167	55.7	Financial managers
Financial services sales agent	262	34	Securities, commodities, and financial services sales agents
Financial specialist	45	-	Financial specialists, all other
Fire alarm systems installer	77	2.6	Security and fire alarm systems installers
Fire inspector	27	-	Fire inspectors
Firefighter	283	3.5	Firefighters
First-line supervisor of administrative support workers	1,425	70.1	First-line supervisors of office and administrative support workers
First-line supervisor of construction trades	639	3	First-line supervisors of construction trades and extraction workers
First-line supervisor of correctional officers	52	29.9	First-line supervisors of correctional officers
First-line supervisor of detectives	95	12.5	First-line supervisors of police and detectives
First-line supervisor of extraction workers	639	3	First-line supervisors of construction trades and extraction workers
First-line supervisor of farming workers	62	8.7	First-line supervisors of farming, fishing, and forestry workers
First-line supervisor of fire fighting workers	44	-	First-line supervisors of fire fighting and prevention workers
First-line supervisor of fishing workers	62	8.7	First-line supervisors of farming, fishing, and forestry workers
First-line supervisor of food preparation workers	519	54.8	First-line supervisors of food preparation and serving workers
First-line supervisor of food serving workers	519	54.8	First-line supervisors of food preparation and serving workers
First-line supervisor of forestry workers	62	8.7	First-line supervisors of farming, fishing, and forestry workers
First-line supervisor of gaming workers	208	44.3	First-line supervisors of gaming workers
First-line supervisor of groundskeeping workers	255	8	First-line supervisors of landscaping, lawn service, and groundskeeping workers
First-line supervisor of housekeeping workers	326	41.1	First-line supervisors of housekeeping and janitorial workers
First-line supervisor of installers	253	8.4	First-line supervisors of mechanics, installers, and repairers
First-line supervisor of janitorial workers	326	41.1	First-line supervisors of housekeeping and janitorial workers
First-line supervisor of landscaping workers	255	8	First-line supervisors of landscaping, lawn service, and groundskeeping workers
First-line supervisor of lawn service workers	255	8	First-line supervisors of landscaping, lawn service, and groundskeeping workers
First-line supervisor of mechanics	253	8.4	First-line supervisors of mechanics, installers, and repairers
First-line supervisor of non-retail sales workers	1,220	30	First-line supervisors of non-retail sales workers
First-line supervisor of office support workers	1,425	70.1	First-line supervisors of office and administrative support workers
First-line supervisor of operating workers	768	19.1	First-line supervisors of production and operating workers
First-line supervisor of personal service workers	232	66.2	First-line supervisors of personal service workers
First-line supervisor of police	95	12.5	First-line supervisors of police and detectives
First-line supervisor of prevention workers	44	-	First-line supervisors of fire fighting and prevention workers
First-line supervisor of production workers	768	19.1	First-line supervisors of production and operating workers
First-line supervisor of protective service workers	72	22	First-line supervisors of protective service workers, all other
First-line supervisor of repairers	253	8.4	First-line supervisors of mechanics, installers, and repairers
First-line supervisor of retail sales workers	3,272	43.4	First-line supervisors of retail sales workers
Fish processing worker	269	24.3	Butchers and other meat, poultry, and fish processing workers
Fish warden	4	-	Fish and game wardens
Fisher	44	-	Fishers and related fishing workers
Fitness worker	480	62.3	Recreation and fitness workers
Flight attendant	98	72.9	Flight attendants
Flight engineer	120	6.2	Aircraft pilots and flight engineers
Floor finisher	183	2.4	Carpet, floor, and tile installers and finishers
Floor installer	183	2.4	Carpet, floor, and tile installers and finishers
Food batchmaker	89	58.1	Food batchmakers
Food cooking machine operator	15	-	Food cooking machine operators and tenders
Food cooking machine tender	15	-	Food cooking machine operators and tenders
Food prepararer	372	60	Combined food preparation and serving workers, including fast food
Food preparation worker	1,068	58.9	Food preparation workers
Food processing worker	175	32.5	Food processing workers, all other
Food science technician	32	-	Agricultural and food science technicians
Food scientist	32	-	Agricultural and food scientists
Food server	372	60	Combined food preparation and serving workers, including fast food
Food server	207	69.9	Food servers, nonrestaurant
Food service manager	1,210	46.3	Food service managers
Forest conservation worker	27	-	Forest and conservation workers
Forester	29	-	Conservation scientists and foresters
Forging machine operator	8	-	Forging machine setters, operators, and tenders, metal and plastic
Forging machine setter	8	-	Forging machine setters, operators, and tenders, metal and plastic
Forging machine tender	8	-	Forging machine setters, operators, and tenders, metal and plastic
Forming machine operator	0	-	Extruding and forming machine setters, operators, and tenders, synthetic and glass fibers
Forming machine operator	21	-	Extruding, forming, pressing, and compacting machine setters, operators, and tenders
Forming machine setter	21	-	Extruding, forming, pressing, and compacting machine setters, operators, and tenders
Forming machine setters	0	-	Extruding and forming machine setters, operators, and tenders, synthetic and glass fibers
Forming machine tender	0	-	Extruding and forming machine setters, operators, and tenders, synthetic and glass fibers
Forming machine tender	21	-	Extruding, forming, pressing, and compacting machine setters, operators, and tenders
Freezing equipment operator	3	-	Cooling and freezing equipment operators and tenders
Freezing equipment tender	3	-	Cooling and freezing equipment operators and tenders
Freight agent	16	-	Cargo and freight agents
Freight mover	1,930	19.9	Laborers and freight, stock, and material movers, hand
Fundraiser	84	77.3	Fundraisers
Fundraising manager	73	63.5	Public relations and fundraising managers
Funeral attendant	17	-	Embalmers and funeral attendants
Funeral director	42	-	Morticians, undertakers, and funeral directors
Funeral service manager	15	-	Funeral service managers
Furnace operator	10	-	Furnace, kiln, oven, drier, and kettle operators and tenders
Furnace operator	10	-	Furnace, kiln, oven, drier, and kettle operators and tenders
Furnishings worker	18	-	Textile, apparel, and furnishings workers, all other
Furniture finisher	15	-	Furniture finishers
Game warden	4	-	Fish and game wardens
Gaming cage worker	14	-	Gaming cage workers
Gaming manager	19	-	Gaming managers
Gaming services worker	90	46.7	Gaming services workers
Gaming surveillance officer	920	24.3	Security guards and gaming surveillance officers
Garment presser	30	-	Pressers, textile, garment, and related materials
General manager	1,005	34.1	General and operations managers
Geological engineer	11	-	Mining and geological engineers, including mining safety engineers
Geological technician	13	-	Geological and petroleum technicians
Geoscientist	84	35.8	Environmental scientists and geoscientists
Glass fiber extruding machine operator	0	-	Extruding and forming machine setters, operators, and tenders, synthetic and glass fibers
Glass fiber extruding machine setter	0	-	Extruding and forming machine setters, operators, and tenders, synthetic and glass fibers
Glass fiber extruding machine tender	0	-	Extruding and forming machine setters, operators, and tenders, synthetic and glass fibers
Glazier	44	-	Glaziers
Grinding machine tool operator	38	-	Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic
Grinding machine tool setter	38	-	Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic
Grinding machine tool tender	38	-	Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic
Grinding worker	72	14	Crushing, grinding, polishing, mixing, and blending workers
Grounds maintenance worker	1,365	5.9	Grounds maintenance workers
Hairdresser	806	92.6	Hairdressers, hairstylists, and cosmetologists
Hairstylist	806	92.6	Hairdressers, hairstylists, and cosmetologists
Hazardous materials removal worker	30	-	Hazardous materials removal workers
Head cook	465	19.7	Chefs and head cooks
Health and safety engineer	221	22.6	Industrial engineers, including health and safety
Health diagnosing practitioner	39	-	Health diagnosing and treating practitioners, all other
Health educator	76	74.8	Miscellaneous community and social service specialists, including health educators and community health workers
Health information technician	167	91.7	Medical records and health information technicians
Health practitioner support technician	632	79.4	Health practitioner support technologists and technicians
Health practitioner support technologist	632	79.4	Health practitioner support technologists and technicians
Health services managers	671	69.8	Medical and health services managers
Health technician	160	66	Miscellaneous health technologists and technicians
Health technologist	160	66	Miscellaneous health technologists and technicians
Health treating practitioner	39	-	Health diagnosing and treating practitioners, all other
Healthcare practitioner	110	46.5	Other healthcare practitioners and technical occupations
Heat treating equipment operator	3	-	Heat treating equipment setters, operators, and tenders, metal and plastic
Heat treating equipment setter	3	-	Heat treating equipment setters, operators, and tenders, metal and plastic
Heat treating equipment tender	3	-	Heat treating equipment setters, operators, and tenders, metal and plastic
Heating installer	448	2	Heating, air conditioning, and refrigeration mechanics and installers
Heating mechanic	448	2	Heating, air conditioning, and refrigeration mechanics and installers
Heavy vehicle mechanic	201	2.6	Heavy vehicle and mobile equipment service technicians and mechanics
Heavy vehicle service technician	201	2.6	Heavy vehicle and mobile equipment service technicians and mechanics
Highway maintenance worker	101	2.7	Highway maintenance workers
Hoist operator	7	-	Hoist and winch operators
Home appliance repairer	41	-	Home appliance repairers
Home health aide	1,936	88.6	Nursing, psychiatric, and home health aides
Hotel desk clerk	125	60.9	Hotel, motel, and resort desk clerks
Housekeeping cleaner	1,527	88	Maids and housekeeping cleaners
Human resources assistant	45	-	Human resources assistants, except payroll and timekeeping
Human resources manager	327	70.8	Human resources managers
Human resources worker	736	72.1	Human resources workers
Human service assistant	232	75.3	Social and human service assistants
Hunter	1	-	Hunters and trappers
Industrial electrical repairer	12	-	Electrical and electronics repairers, industrial and utility
Industrial electronics repairer	12	-	Electrical and electronics repairers, industrial and utility
Industrial engineer	221	22.6	Industrial engineers, including health and safety
Industrial machinery mechanic	424	3.9	Industrial and refractory machinery mechanics
Industrial production manager	280	25.7	Industrial production managers
Industrial tractor operator	611	8.2	Industrial truck and tractor operators
Industrial truck operator	611	8.2	Industrial truck and tractor operators
Information clerk	110	78.1	Information and record clerks, all other
Information clerk	1,267	91	Receptionists and information clerks
Information research scientist	24	-	Computer and information research scientists
Information security analyst	105	20.2	Information security analysts
Information systems manager	630	28.6	Computer and information systems managers
Inspector	793	37.9	Inspectors, testers, sorters, samplers, and weighers
Installation worker	215	5.9	Other installation, maintenance, and repair workers
Installation worker helper	18	-	Helpers--installation, maintenance, and repair workers
Instructor	907	65.4	Other teachers and instructors
Insulation worker	58	3.1	Insulation workers
Insurance claims clerk	237	84.3	Insurance claims and policy processing clerks
Insurance sales agent	624	51.8	Insurance sales agents
Insurance underwriter	104	63.8	Insurance underwriters
Interviewer	142	85	Interviewers, except eligibility and loan
Jailer	408	28.5	Bailiffs, correctional officers, and jailers
Janitor	2,307	35.2	Janitors and building cleaners
Jeweler	43	-	Jewelers and precious stone and metal workers
Job analysis specialist	59	72.3	Compensation, benefits, and job analysis specialists
Judge	66	28.1	Judges, magistrates, and other judicial workers
Judicial law clerk	14	-	Judicial law clerks
Kettle operator	10	-	Furnace, kiln, oven, drier, and kettle operators and tenders
Kettle tender	10	-	Furnace, kiln, oven, drier, and kettle operators and tenders
Kiln operator	10	-	Furnace, kiln, oven, drier, and kettle operators and tenders
Kiln tender	10	-	Furnace, kiln, oven, drier, and kettle operators and tenders
Kindergarten teacher	712	97.7	Preschool and kindergarten teachers
Laboratory animal caretaker	61	84.2	Veterinary assistants and laboratory animal caretakers
Laborer	1,930	19.9	Laborers and freight, stock, and material movers, hand
Lapping machine tool operator	38	-	Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic
Lapping machine tool setter	38	-	Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic
Lapping machine tool tender	38	-	Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic
Lathe tool operator	14	-	Lathe and turning machine tool setters, operators, and tenders, metal and plastic
Lathe tool setter	14	-	Lathe and turning machine tool setters, operators, and tenders, metal and plastic
