Expanded Occupation	Total employed (Thousands)	Women Participation (%)	Original Occupation	Category	Category Total employed (Thousands)	Category Women Participation (%)
Lock tenders	5	-	Bridge and lock tenders	Transportation and material moving occupations	9,445	17.3
Locksmith	35	-	Locksmiths and safe repairers	Installation, maintenance, and repair occupations	4,977	4
Locomotive engineer	42	-	Locomotive engineers and operators	Transportation and material moving occupations	9,445	17.3
Locomotive operator	42	-	Locomotive engineers and operators	Transportation and material moving occupations	9,445	17.3
Lodging manager	156	48.8	Lodging managers	Management occupations	17,804	39.8
Logging worker	66	2	Logging workers	Farming, fishing, and forestry occupations	1,184	23.4
Logistician	112	34.8	Logisticians	Business and financial operations occupations	7,574	54
Machine assembler	13	-	Engine and other machine assemblers	Production occupations	8,482	28.9
Machine feeder	31	-	Machine feeders and offbearers	Transportation and material moving occupations	9,445	17.3
Machinery maintenance worker	27	-	Maintenance workers, machinery	Installation, maintenance, and repair occupations	4,977	4
Machinist	366	5	Machinists	Production occupations	8,482	28.9
Magistrate	66	28.1	Judges, magistrates, and other judicial workers	Legal occupations	1,827	52.8
Mail clerk	61	36.8	Mail clerks and mail machine operators, except postal service	Office and administrative support occupations	17,751	72.2
Mail machine operator	61	36.8	Mail clerks and mail machine operators, except postal service	Office and administrative support occupations	17,751	72.2
Mail superintendent	27	-	Postmasters and mail superintendents	Management occupations	17,804	39.8
Maintenance worker	528	4.5	Maintenance and repair workers, general	Installation, maintenance, and repair occupations	4,977	4
Maintenance worker	215	5.9	Other installation, maintenance, and repair workers	Installation, maintenance, and repair occupations	4,977	4
Maintenance workers helper	18	-	Helpers--installation, maintenance, and repair workers	Installation, maintenance, and repair occupations	4,977	4
Management analyst	937	42.3	Management analysts	Business and financial operations occupations	7,574	54
Manager	4,398	35.8	Managers, all other	Business and financial operations occupations	7,574	54
Manufactured building installer	4	-	Manufactured building and mobile home installers	Installation, maintenance, and repair occupations	4,977	4
Manufacturing sales representatives	1,264	28	Sales representatives, wholesale and manufacturing	Sales and related occupations	15,815	49.1
Mapping technician	73	4.6	Surveying and mapping technicians	Architecture and engineering occupations	3,224	16.2
Marine engineer	12	-	Marine engineers and naval architects	Architecture and engineering occupations	3,224	16.2
Marine oiler	19	-	Sailors and marine oilers	Transportation and material moving occupations	9,445	17.3
Market research analyst	344	60.8	Market research analysts and marketing specialists	Business and financial operations occupations	7,574	54
Marketing manager	1,078	45.3	Marketing and sales managers	Management occupations	17,804	39.8
Marketing specialist	344	60.8	Market research analysts and marketing specialists	Business and financial operations occupations	7,574	54
Massage therapist	172	82.7	Massage therapists	Healthcare support occupations	3,506	87.1
Material mover	1,930	19.9	Laborers and freight, stock, and material movers, hand	Transportation and material moving occupations	9,445	17.3
Material moving worker	40	-	Material moving workers, all other	Transportation and material moving occupations	9,445	17.3
Materials engineer	32	-	Materials engineers	Architecture and engineering occupations	3,224	16.2
Materials scientist	105	38.3	Chemists and materials scientists	Life, physical, and social science occupations	1,431	47.4
Mathematician	3	-	Mathematicians	Computer and mathematical occupations	4,804	25.5
Meat processing worker	269	24.3	Butchers and other meat, poultry, and fish processing workers	Production occupations	8,482	28.9
Mechanical engineer	344	9.2	Mechanical engineers	Architecture and engineering occupations	3,224	16.2
Media worker	5	-	Media and communication equipment workers, all other	Arts, design, entertainment, sports, and media occupations	3,246	46.9
Media worker	112	64.2	Miscellaneous media and communication workers	Arts, design, entertainment, sports, and media occupations	3,246	46.9
Medical assistant	539	91.6	Medical assistants	Healthcare support occupations	3,506	87.1
Medical equipment preparer	200	70.5	Miscellaneous healthcare support occupations, including medical equipment preparers	Healthcare support occupations	3,506	87.1
Medical laboratory technician	70	63.1	Medical, dental, and ophthalmic laboratory technicians	Production occupations	8,482	28.9
Medical records technician	167	91.7	Medical records and health information technicians	Healthcare practitioners and technical occupations	9,141	75
Medical scientist	161	52.1	Medical scientists	Life, physical, and social science occupations	1,431	47.4
Medical services manager	671	69.8	Medical and health services managers	Management occupations	17,804	39.8
Medical transcriptionist	36	-	Medical transcriptionists	Healthcare support occupations	3,506	87.1
Meeting planner	137	85.1	Meeting, convention, and event planners	Business and financial operations occupations	7,574	54
Messenger	239	19.4	Couriers and messengers	Office and administrative support occupations	17,751	72.2
Metal extruding machine operator	19	-	Extruding and drawing machine setters, operators, and tenders, metal and plastic	Production occupations	8,482	28.9
Metal extruding machine setter	19	-	Extruding and drawing machine setters, operators, and tenders, metal and plastic	Production occupations	8,482	28.9
Metal extruding machine tender	19	-	Extruding and drawing machine setters, operators, and tenders, metal and plastic	Production occupations	8,482	28.9
Metal furnace caster	19	-	Metal furnace operators, tenders, pourers, and casters	Production occupations	8,482	28.9
Metal furnace operator	19	-	Metal furnace operators, tenders, pourers, and casters	Production occupations	8,482	28.9
Metal furnace pourer	19	-	Metal furnace operators, tenders, pourers, and casters	Production occupations	8,482	28.9
Metal furnace tender	19	-	Metal furnace operators, tenders, pourers, and casters	Production occupations	8,482	28.9
Metal model maker	5	-	Model makers and patternmakers, metal and plastic	Production occupations	8,482	28.9
Metal molder	45	-	Molders and molding machine setters, operators, and tenders, metal and plastic	Production occupations	8,482	28.9
Metal patternmaker	5	-	Model makers and patternmakers, metal and plastic	Production occupations	8,482	28.9
Metal pickling equipment operator	11	-	Cleaning, washing, and metal pickling equipment operators and tenders	Production occupations	8,482	28.9
Metal pickling equipment tender	11	-	Cleaning, washing, and metal pickling equipment operators and tenders	Production occupations	8,482	28.9
Metal worker	43	-	Jewelers and precious stone and metal workers	Production occupations	8,482	28.9
Metal worker	388	20.5	Metal workers and plastic workers, all other	Production occupations	8,482	28.9
Meter reader	18	-	Meter readers, utilities	Office and administrative support occupations	17,751	72.2
Middle school teacher	3,268	79.3	Elementary and middle school teachers	Education, training, and library occupations	9,215	73
Milling machine operator	5	-	Milling and planing machine setters, operators, and tenders, metal and plastic	Production occupations	8,482	28.9
Milling machine setter	5	-	Milling and planing machine setters, operators, and tenders, metal and plastic	Production occupations	8,482	28.9
Milling machine tender	5	-	Milling and planing machine setters, operators, and tenders, metal and plastic	Production occupations	8,482	28.9
Millwright	40	-	Millwrights	Installation, maintenance, and repair occupations	4,977	4
Mine shuttle car operator	0	-	Mine shuttle car operators	Transportation and material moving occupations	9,445	17.3
Mining engineer	11	-	Mining and geological engineers, including mining safety engineers	Architecture and engineering occupations	3,224	16.2
Mining machine operator	51	1.1	Mining machine operators	Construction and extraction occupations	8,031	3
Mining roof bolter 	2	-	Roof bolters, mining	Construction and extraction occupations	8,031	3
Mining safety engineer	11	-	Mining and geological engineers, including mining safety engineers	Architecture and engineering occupations	3,224	16.2
Mixing worker	72	14	Crushing, grinding, polishing, mixing, and blending workers	Production occupations	8,482	28.9
Mobile equipment installer	83	1.8	Miscellaneous vehicle and mobile equipment mechanics, installers, and repairers	Installation, maintenance, and repair occupations	4,977	4
Mobile equipment mechanic	201	2.6	Heavy vehicle and mobile equipment service technicians and mechanics	Installation, maintenance, and repair occupations	4,977	4
Mobile equipment mechanic	83	1.8	Miscellaneous vehicle and mobile equipment mechanics, installers, and repairers	Installation, maintenance, and repair occupations	4,977	4
Mobile equipment repairer	83	1.8	Miscellaneous vehicle and mobile equipment mechanics, installers, and repairers	Installation, maintenance, and repair occupations	4,977	4
Mobile equipment service technician	201	2.6	Heavy vehicle and mobile equipment service technicians and mechanics	Installation, maintenance, and repair occupations	4,977	4
Mobile home installer	4	-	Manufactured building and mobile home installers	Installation, maintenance, and repair occupations	4,977	4
Model	61	78.4	Models, demonstrators, and product promoters	Sales and related occupations	15,815	49.1
Molder	35	-	Molders, shapers, and casters, except metal and plastic	Production occupations	8,482	28.9
Molding machine operator	45	-	Molders and molding machine setters, operators, and tenders, metal and plastic	Production occupations	8,482	28.9
Molding machine setter	45	-	Molders and molding machine setters, operators, and tenders, metal and plastic	Production occupations	8,482	28.9
Molding machine tender	45	-	Molders and molding machine setters, operators, and tenders, metal and plastic	Production occupations	8,482	28.9
Mortician	42	-	Morticians, undertakers, and funeral directors	Personal care and service occupations	5,939	76.1
Motel desk clerk	125	60.9	Hotel, motel, and resort desk clerks	Office and administrative support occupations	17,751	72.2
Motion picture camera operator	82	12.2	Television, video, and motion picture camera operators and editors	Arts, design, entertainment, sports, and media occupations	3,246	46.9
Motion picture editor	82	12.2	Television, video, and motion picture camera operators and editors	Arts, design, entertainment, sports, and media occupations	3,246	46.9
Motion picture projectionist	1	-	Motion picture projectionists	Personal care and service occupations	5,939	76.1
Motor vehicle operator	76	17.5	Motor vehicle operators, all other	Transportation and material moving occupations	9,445	17.3
Motor vehicles electronic equipment installer	11	-	Electronic equipment installers and repairers, motor vehicles	Installation, maintenance, and repair occupations	4,977	4
Motor vehicles electronic equipment repairer	11	-	Electronic equipment installers and repairers, motor vehicles	Installation, maintenance, and repair occupations	4,977	4
Multiple machine tool operator	5	-	Multiple machine tool setters, operators, and tenders, metal and plastic	Production occupations	8,482	28.9
Multiple machine tool setter	5	-	Multiple machine tool setters, operators, and tenders, metal and plastic	Production occupations	8,482	28.9
Multiple machine tool tender	5	-	Multiple machine tool setters, operators, and tenders, metal and plastic	Production occupations	8,482	28.9
Municipal clerk	90	75.2	Court, municipal, and license clerks	Office and administrative support occupations	17,751	72.2
Museum technician	59	61.4	Archivists, curators, and museum technicians	Education, training, and library occupations	9,215	73
Musician	188	37.7	Musicians, singers, and related workers	Arts, design, entertainment, sports, and media occupations	3,246	46.9
Natural sciences manager	16	-	Natural sciences managers	Management occupations	17,804	39.8
Naval architect	12	-	Marine engineers and naval architects	Architecture and engineering occupations	3,224	16.2
Network systems administrator	210	23.5	Network and computer systems administrators	Computer and mathematical occupations	4,804	25.5
New accounts clerk	32	-	New accounts clerks	Office and administrative support occupations	17,751	72.2
News analyst	84	55.3	News analysts, reporters and correspondents	Arts, design, entertainment, sports, and media occupations	3,246	46.9
News correspondent	84	55.3	News analysts, reporters and correspondents	Arts, design, entertainment, sports, and media occupations	3,246	46.9
News reporter	84	55.3	News analysts, reporters and correspondents	Arts, design, entertainment, sports, and media occupations	3,246	46.9
News vendor	166	58.4	Door-to-door sales workers, news and street vendors, and related workers	Sales and related occupations	15,815	49.1
Nuclear engineer	8	-	Nuclear engineers	Architecture and engineering occupations	3,224	16.2
Nuclear technician	7	-	Nuclear technicians	Life, physical, and social science occupations	1,431	47.4
Nurse anesthetist	35	-	Nurse anesthetists	Healthcare practitioners and technical occupations	9,141	75
Nurse midwife	7	-	Nurse midwives	Healthcare practitioners and technical occupations	9,141	75
Nurse practitioner	175	92.2	Nurse practitioners	Healthcare practitioners and technical occupations	9,141	75
Nursing aide	1,936	88.6	Nursing, psychiatric, and home health aides	Healthcare support occupations	3,506	87.1
Nutritionist	114	94.1	Dietitians and nutritionists	Healthcare practitioners and technical occupations	9,141	75
Occupational therapist	122	87.6	Occupational therapists	Healthcare practitioners and technical occupations	9,141	75
Occupational therapy aide	27	-	Occupational therapy assistants and aides	Healthcare support occupations	3,506	87.1
Occupational therapy assistant	27	-	Occupational therapy assistants and aides	Healthcare support occupations	3,506	87.1
Offbearer	31	-	Machine feeders and offbearers	Transportation and material moving occupations	9,445	17.3
Office clerk	1,271	83.1	Office clerks, general	Office and administrative support occupations	17,751	72.2
Office machine operator	33	-	Office machine operators, except computer	Office and administrative support occupations	17,751	72.2
Office machine repairer	212	11.3	Computer, automated teller, and office machine repairers	Installation, maintenance, and repair occupations	4,977	4
Office support worker	576	75.2	Office and administrative support workers, all other	Office and administrative support occupations	17,751	72.2
Operating engineer	358	1.5	Operating engineers and other construction equipment operators	Construction and extraction occupations	8,031	3
Operations manager	1,005	34.1	General and operations managers	Management occupations	17,804	39.8
Operations research analyst	147	51.5	Operations research analysts	Computer and mathematical occupations	4,804	25.5
Ophthalmic laboratory technician	70	63.1	Medical, dental, and ophthalmic laboratory technicians	Production occupations	8,482	28.9
Optician	48	-	Opticians, dispensing	Healthcare practitioners and technical occupations	9,141	75
Optometrist	51	50.2	Optometrists	Healthcare practitioners and technical occupations	9,141	75
Order clerk	107	54.9	Order clerks	Office and administrative support occupations	17,751	72.2
Order filler	1,525	37.9	Stock clerks and order fillers	Office and administrative support occupations	17,751	72.2
Ordnance handling expert	10	-	Explosives workers, ordnance handling experts, and blasters	Construction and extraction occupations	8,031	3
Oven operator	10	-	Furnace, kiln, oven, drier, and kettle operators and tenders	Production occupations	8,482	28.9
Oven tender	10	-	Furnace, kiln, oven, drier, and kettle operators and tenders	Production occupations	8,482	28.9
Packager	539	52.7	Packers and packagers, hand	Transportation and material moving occupations	9,445	17.3
Packaging machine operator	292	52.8	Packaging and filling machine operators and tenders	Production occupations	8,482	28.9
Packaging machine tender	292	52.8	Packaging and filling machine operators and tenders	Production occupations	8,482	28.9
Packer	539	52.7	Packers and packagers, hand	Transportation and material moving occupations	9,445	17.3
Painter	540	6.6	Painters, construction and maintenance	Construction and extraction occupations	8,031	3
Painting worker	157	12.6	Painting workers	Production occupations	8,482	28.9
Paper goods machine operator	29	-	Paper goods machine setters, operators, and tenders	Production occupations	8,482	28.9
Paper goods machine setter	29	-	Paper goods machine setters, operators, and tenders	Production occupations	8,482	28.9
Paper goods machine tender	29	-	Paper goods machine setters, operators, and tenders	Production occupations	8,482	28.9
Paperhanger	4	-	Paperhangers	Construction and extraction occupations	8,031	3
Paralegals assistant	424	86.3	Paralegals and legal assistants	Legal occupations	1,827	52.8
Paramedic	223	30.6	Emergency medical technicians and paramedics	Healthcare practitioners and technical occupations	9,141	75
Parking enforcement worker	6	-	Parking enforcement workers	Protective service occupations	3,113	22.3
Parking lot attendant	95	16.7	Parking lot attendants	Transportation and material moving occupations	9,445	17.3
Parts salesperson	130	7.2	Parts salespersons	Sales and related occupations	15,815	49.1
Paving equipment operator	15	-	Paving, surfacing, and tamping equipment operators	Construction and extraction occupations	8,031	3
Payroll clerk	129	89.5	Payroll and timekeeping clerks	Office and administrative support occupations	17,751	72.2
Performer	67	48.1	Entertainers and performers, sports and related workers, all other	Arts, design, entertainment, sports, and media occupations	3,246	46.9
Personal appearance worker	397	81.8	Miscellaneous personal appearance workers	Personal care and service occupations	5,939	76.1
Personal care aide	1,365	83.7	Personal care aides	Personal care and service occupations	5,939	76.1
Personal care worker	167	60.1	Personal care and service workers, all other	Personal care and service occupations	5,939	76.1
Personal financial advisor	525	32	Personal financial advisors	Business and financial operations occupations	7,574	54
Personal service worker	167	60.1	Personal care and service workers, all other	Personal care and service occupations	5,939	76.1
Personal trainer	480	62.3	Recreation and fitness workers	Personal care and service occupations	5,939	76.1
Pest control worker	108	6.5	Pest control workers	Building and grounds cleaning and maintenance occupations	5,888	40.7
Petroleum engineer	24	-	Petroleum engineers	Architecture and engineering occupations	3,224	16.2
Petroleum technician	13	-	Geological and petroleum technicians	Life, physical, and social science occupations	1,431	47.4
Pharmacist	342	57.5	Pharmacists	Healthcare practitioners and technical occupations	9,141	75
Pharmacy aide	39	-	Pharmacy aides	Healthcare support occupations	3,506	87.1
Phlebotomist	112	83.8	Phlebotomists	Healthcare support occupations	3,506	87.1
Photogrammetrist	43	-	Surveyors, cartographers, and photogrammetrists	Architecture and engineering occupations	3,224	16.2
Photographer	214	46	Photographers	Arts, design, entertainment, sports, and media occupations	3,246	46.9
Photographic process worker	31	-	Photographic process workers and processing machine operators	Production occupations	8,482	28.9
Photographic processing machine operator	31	-	Photographic process workers and processing machine operators	Production occupations	8,482	28.9
Physical science technician	164	47.7	Miscellaneous life, physical, and social science technicians	Life, physical, and social science occupations	1,431	47.4
Physical scientist	301	47.3	Physical scientists, all other	Life, physical, and social science occupations	1,431	47.4
Physical therapist	258	68.2	Physical therapists	Healthcare practitioners and technical occupations	9,141	75
Physical therapist aide	83	67.2	Physical therapist assistants and aides	Healthcare support occupations	3,506	87.1
Physical therapist assistant	83	67.2	Physical therapist assistants and aides	Healthcare support occupations	3,506	87.1
Physician	1,079	40	Physicians and surgeons	Healthcare practitioners and technical occupations	9,141	75
Physician assistant	116	70.9	Physician assistants	Healthcare practitioners and technical occupations	9,141	75
Physicist	18	-	Astronomers and physicists	Life, physical, and social science occupations	1,431	47.4
Pile-driver operator	2	-	Pile-driver operators	Construction and extraction occupations	8,031	3
Pipefitters	600	2.2	Pipelayers, plumbers, pipefitters, and steamfitters	Construction and extraction occupations	8,031	3
Pipelayer	600	2.2	Pipelayers, plumbers, pipefitters, and steamfitters	Construction and extraction occupations	8,031	3
Planing machine operator	5	-	Milling and planing machine setters, operators, and tenders, metal and plastic	Production occupations	8,482	28.9
Planing machine setter	5	-	Milling and planing machine setters, operators, and tenders, metal and plastic	Production occupations	8,482	28.9
Planing machine tender	5	-	Milling and planing machine setters, operators, and tenders, metal and plastic	Production occupations	8,482	28.9
Planning clerk	270	53.9	Production, planning, and expediting clerks	Office and administrative support occupations	17,751	72.2
Plant operator	42	-	Miscellaneous plant and system operators	Production occupations	8,482	28.9
Plasterer	27	-	Plasterers and stucco masons	Construction and extraction occupations	8,031	3
Plastic extruding machine operator	19	-	Extruding and drawing machine setters, operators, and tenders, metal and plastic	Production occupations	8,482	28.9
Plastic extruding machine setter	19	-	Extruding and drawing machine setters, operators, and tenders, metal and plastic	Production occupations	8,482	28.9
Plastic extruding machine tender	19	-	Extruding and drawing machine setters, operators, and tenders, metal and plastic	Production occupations	8,482	28.9
Plastic model maker	5	-	Model makers and patternmakers, metal and plastic	Production occupations	8,482	28.9
Plastic Molder	45	-	Molders and molding machine setters, operators, and tenders, metal and plastic	Production occupations	8,482	28.9
Plastic patternmaker	5	-	Model makers and patternmakers, metal and plastic	Production occupations	8,482	28.9
Plastic worker	388	20.5	Metal workers and plastic workers, all other	Production occupations	8,482	28.9
Plating and coating machine setters, operators, and tenders, metal and plastic	17	-	Plating and coating machine setters, operators, and tenders, metal and plastic	Production occupations	8,482	28.9
Plumber	600	2.2	Pipelayers, plumbers, pipefitters, and steamfitters	Construction and extraction occupations	8,031	3
Podiatrist	12	-	Podiatrists	Healthcare practitioners and technical occupations	9,141	75
Police patrol officer	704	13.6	Police and sheriff's patrol officers	Protective service occupations	3,113	22.3
Policy processing clerk	237	84.3	Insurance claims and policy processing clerks	Office and administrative support occupations	17,751	72.2
Polishing machine tool operator	38	-	Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic	Production occupations	8,482	28.9
Polishing machine tool setter	38	-	Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic	Production occupations	8,482	28.9
Polishing machine tool tender	38	-	Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic	Production occupations	8,482	28.9
Polishing worker	72	14	Crushing, grinding, polishing, mixing, and blending workers	Production occupations	8,482	28.9
Postal service clerk	111	55.3	Postal service clerks	Office and administrative support occupations	17,751	72.2
Postal service mail carrier	306	40.8	Postal service mail carriers	Office and administrative support occupations	17,751	72.2
Postal service mail processing machine operator	50	56.7	Postal service mail sorters, processors, and processing machine operators	Office and administrative support occupations	17,751	72.2
Postal service mail processor	50	56.7	Postal service mail sorters, processors, and processing machine operators	Office and administrative support occupations	17,751	72.2
Postal service mail sorter	50	56.7	Postal service mail sorters, processors, and processing machine operators	Office and administrative support occupations	17,751	72.2
Posting clerk	473	85.9	Billing and posting clerks	Office and administrative support occupations	17,751	72.2
Postmaster	27	-	Postmasters and mail superintendents	Management occupations	17,804	39.8
Postsecondary teacher	1,423	47	Postsecondary teachers	Education, training, and library occupations	9,215	73
Poultry processing worker	269	24.3	Butchers and other meat, poultry, and fish processing workers	Production occupations	8,482	28.9
Power plant dispatcher	38	-	Power plant operators, distributors, and dispatchers	Production occupations	8,482	28.9
Power plant distributor	38	-	Power plant operators, distributors, and dispatchers	Production occupations	8,482	28.9
Power plant operator	38	-	Power plant operators, distributors, and dispatchers	Production occupations	8,482	28.9
Power tool repairers	28	-	Electric motor, power tool, and related repairers	Installation, maintenance, and repair occupations	4,977	4
Precious stone worker	43	-	Jewelers and precious stone and metal workers	Production occupations	8,482	28.9
Precision equipment repairer	63	14.6	Precision instrument and equipment repairers	Installation, maintenance, and repair occupations	4,977	4
Precision instrument repairer	63	14.6	Precision instrument and equipment repairers	Installation, maintenance, and repair occupations	4,977	4
Prepress technician	24	-	Prepress technicians and workers	Production occupations	8,482	28.9
Prepress worker	24	-	Prepress technicians and workers	Production occupations	8,482	28.9
Preschool and kindergarten teachers	712	97.7	Preschool and kindergarten teachers	Education, training, and library occupations	9,215	73
Preschool teacher	712	97.7	Preschool and kindergarten teachers	Education, training, and library occupations	9,215	73
Press machine operator	80	11	Cutting, punching, and press machine setters, operators, and tenders, metal and plastic	Production occupations	8,482	28.9
Pressing machine operator	21	-	Extruding, forming, pressing, and compacting machine setters, operators, and tenders	Production occupations	8,482	28.9
Pressing machine setter	21	-	Extruding, forming, pressing, and compacting machine setters, operators, and tenders	Production occupations	8,482	28.9
Pressing machine tender	21	-	Extruding, forming, pressing, and compacting machine setters, operators, and tenders	Production occupations	8,482	28.9
Print binding worker	11	-	Print binding and finishing workers	Production occupations	8,482	28.9
Print finishing worker	11	-	Print binding and finishing workers	Production occupations	8,482	28.9
Printing press operator	173	17.7	Printing press operators	Production occupations	8,482	28.9
Private detective	94	48.8	Private detectives and investigators	Protective service occupations	3,113	22.3
Private investigator	94	48.8	Private detectives and investigators	Protective service occupations	3,113	22.3
Probation officer	99	63.5	Probation officers and correctional treatment specialists	Community and social service occupations	2,635	66.1
Procurement clerk	30	-	Procurement clerks	Office and administrative support occupations	17,751	72.2
Producer	180	29.8	Producers and directors	Arts, design, entertainment, sports, and media occupations	3,246	46.9
Product promoter	61	78.4	Models, demonstrators, and product promoters	Sales and related occupations	15,815	49.1
Production clerk	270	53.9	Production, planning, and expediting clerks	Office and administrative support occupations	17,751	72.2
Production worker	995	29.5	Production workers, all other	Production occupations	8,482	28.9
Production worker helper	50	37.1	Helpers--production workers	Production occupations	8,482	28.9
Promotions manager	61	52.7	Advertising and promotions managers	Management occupations	17,804	39.8
Proofreader	10	-	Proofreaders and copy markers	Office and administrative support occupations	17,751	72.2
Property manager	743	48.6	Property, real estate, and community association managers	Management occupations	17,804	39.8
Psychiatric aide	1,936	88.6	Nursing, psychiatric, and home health aides	Healthcare support occupations	3,506	87.1
Psychologist	187	68.9	Psychologists	Life, physical, and social science occupations	1,431	47.4
Public relations manager	73	63.5	Public relations and fundraising managers	Management occupations	17,804	39.8
Public relations specialist	118	60.9	Public relations specialists	Arts, design, entertainment, sports, and media occupations	3,246	46.9
Pumping station operator	21	-	Pumping station operators	Transportation and material moving occupations	9,445	17.3
Punching machine operator	80	11	Cutting, punching, and press machine setters, operators, and tenders, metal and plastic	Production occupations	8,482	28.9
Purchasing agent	270	44.1	Purchasing agents, except wholesale, retail, and farm products	Business and financial operations occupations	7,574	54
Purchasing manager	205	52.3	Purchasing managers	Management occupations	17,804	39.8
Radiation therapist	10	-	Radiation therapists	Healthcare practitioners and technical occupations	9,141	75
Radio installer	134	8.1	Radio and telecommunications equipment installers and repairers	Installation, maintenance, and repair occupations	4,977	4
Radio operator	119	14.4	Broadcast and sound engineering technicians and radio operators	Arts, design, entertainment, sports, and media occupations	3,246	46.9
Radio repairer	134	8.1	Radio and telecommunications equipment installers and repairers	Installation, maintenance, and repair occupations	4,977	4
Rail transportation worker	15	-	Subway, streetcar, and other rail transportation workers	Transportation and material moving occupations	9,445	17.3
Rail-track laying operator	17	-	Rail-track laying and maintenance equipment operators	Construction and extraction occupations	8,031	3
Rail-track maintenance equipment operator	17	-	Rail-track laying and maintenance equipment operators	Construction and extraction occupations	8,031	3
Railroad brake operator	4	-	Railroad brake, signal, and switch operators	Transportation and material moving occupations	9,445	17.3
Railroad conductor	50	5.2	Railroad conductors and yardmasters	Transportation and material moving occupations	9,445	17.3
Railroad police officer	7	-	Transit and railroad police	Protective service occupations	3,113	22.3
Railroad signal operator	4	-	Railroad brake, signal, and switch operators	Transportation and material moving occupations	9,445	17.3
Railroad switch operator	4	-	Railroad brake, signal, and switch operators	Transportation and material moving occupations	9,445	17.3
Rancher	1,018	25.2	Farmers, ranchers, and other agricultural managers	Management occupations	17,804	39.8
Real estate Appraiser	97	37.4	Appraisers and assessors of real estate	Business and financial operations occupations	7,574	54
Real estate assessor	97	37.4	Appraisers and assessors of real estate	Business and financial operations occupations	7,574	54
Real estate broker	997	57.1	Real estate brokers and sales agents	Sales and related occupations	15,815	49.1
Real estate manager	743	48.6	Property, real estate, and community association managers	Management occupations	17,804	39.8
Real estate sales agent	997	57.1	Real estate brokers and sales agents	Sales and related occupations	15,815	49.1
Receiving clerk	623	31.3	Shipping, receiving, and traffic clerks	Office and administrative support occupations	17,751	72.2
Receptionist	1,267	91	Receptionists and information clerks	Office and administrative support occupations	17,751	72.2
Record clerk	110	78.1	Information and record clerks, all other	Office and administrative support occupations	17,751	72.2
Recordkeeping checker	52	46.8	Weighers, measurers, checkers, and samplers, recordkeeping	Office and administrative support occupations	17,751	72.2
Recordkeeping measurer	52	46.8	Weighers, measurers, checkers, and samplers, recordkeeping	Office and administrative support occupations	17,751	72.2
Recordkeeping samplers	52	46.8	Weighers, measurers, checkers, and samplers, recordkeeping	Office and administrative support occupations	17,751	72.2
Recordkeeping weigher	52	46.8	Weighers, measurers, checkers, and samplers, recordkeeping	Office and administrative support occupations	17,751	72.2
Recreation worker	480	62.3	Recreation and fitness workers	Personal care and service occupations	5,939	76.1
Recreational therapist	7	-	Recreational therapists	Healthcare practitioners and technical occupations	9,141	75
Recyclable material collector	94	11.7	Refuse and recyclable material collectors	Transportation and material moving occupations	9,445	17.3
Refractory machinery mechanic	424	3.9	Industrial and refractory machinery mechanics	Installation, maintenance, and repair occupations	4,977	4
Refrigeration installer	448	2	Heating, air conditioning, and refrigeration mechanics and installers	Installation, maintenance, and repair occupations	4,977	4
Refrigeration mechanic	448	2	Heating, air conditioning, and refrigeration mechanics and installers	Installation, maintenance, and repair occupations	4,977	4
Refuse collector	94	11.7	Refuse and recyclable material collectors	Transportation and material moving occupations	9,445	17.3
Regional planner	32	-	Urban and regional planners	Life, physical, and social science occupations	1,431	47.4
Registered nurse	3,159	89.9	Registered nurses	Healthcare practitioners and technical occupations	9,141	75
Reinforcing iron worker	12	-	Reinforcing iron and rebar workers	Construction and extraction occupations	8,031	3
Reinforcing rebar worker	12	-	Reinforcing iron and rebar workers	Construction and extraction occupations	8,031	3
Religious activities director	81	54.1	Directors, religious activities and education	Community and social service occupations	2,635	66.1
Religious worker	85	65.3	Religious workers, all other	Community and social service occupations	2,635	66.1
Rental clerk	109	48.9	Counter and rental clerks	Sales and related occupations	15,815	49.1
Repair worker	528	4.5	Maintenance and repair workers, general	Installation, maintenance, and repair occupations	4,977	4
Repair worker	215	5.9	Other installation, maintenance, and repair workers	Installation, maintenance, and repair occupations	4,977	4
Repair workers helpers	18	-	Helpers--installation, maintenance, and repair workers	Installation, maintenance, and repair occupations	4,977	4
Reservation ticket agent	127	58	Reservation and transportation ticket agents and travel clerks	Office and administrative support occupations	17,751	72.2
Residential advisor	44	-	Residential advisors	Personal care and service occupations	5,939	76.1
Resort desk clerk	125	60.9	Hotel, motel, and resort desk clerks	Office and administrative support occupations	17,751	72.2
Respiratory therapist	100	72.4	Respiratory therapists	Healthcare practitioners and technical occupations	9,141	75
Retail buyer	194	55.8	Wholesale and retail buyers, except farm products	Business and financial operations occupations	7,574	54
Retail salesperson	3,235	48.2	Retail salespersons	Sales and related occupations	15,815	49.1
Revenue agent	65	58.4	Tax examiners and collectors, and revenue agents	Business and financial operations occupations	7,574	54
Rigger	14	-	Riggers	Installation, maintenance, and repair occupations	4,977	4
Roasting machine operator	12	-	Food and tobacco roasting, baking, and drying machine operators and tenders	Production occupations	8,482	28.9
