Expanded Occupation	Total employed (Thousands)	Women Participation (%)	Original Occupation	Category	Category Total employed (Thousands)	Category Women Participation (%)
Fire alarm systems installer	77	2.6	Security and fire alarm systems installers	Installation, maintenance, and repair occupations	4,977	4
Fire inspector	27	-	Fire inspectors	Protective service occupations	3,113	22.3
Firefighter	283	3.5	Firefighters	Protective service occupations	3,113	22.3
First-line supervisor of administrative support workers	1,425	70.1	First-line supervisors of office and administrative support workers	Office and administrative support occupations	17,751	72.2
First-line supervisor of construction trades	639	3	First-line supervisors of construction trades and extraction workers	Construction and extraction occupations	8,031	3
First-line supervisor of correctional officers	52	29.9	First-line supervisors of correctional officers	Protective service occupations	3,113	22.3
First-line supervisor of detectives	95	12.5	First-line supervisors of police and detectives	Protective service occupations	3,113	22.3
First-line supervisor of extraction workers	639	3	First-line supervisors of construction trades and extraction workers	Construction and extraction occupations	8,031	3
First-line supervisor of farming workers	62	8.7	First-line supervisors of farming, fishing, and forestry workers	Farming, fishing, and forestry occupations	1,184	23.4
First-line supervisor of fire fighting workers	44	-	First-line supervisors of fire fighting and prevention workers	Protective service occupations	3,113	22.3
First-line supervisor of fishing workers	62	8.7	First-line supervisors of farming, fishing, and forestry workers	Farming, fishing, and forestry occupations	1,184	23.4
First-line supervisor of food preparation workers	519	54.8	First-line supervisors of food preparation and serving workers	Food preparation and serving related occupations	8,305	53.8
First-line supervisor of food serving workers	519	54.8	First-line supervisors of food preparation and serving workers	Food preparation and serving related occupations	8,305	53.8
First-line supervisor of forestry workers	62	8.7	First-line supervisors of farming, fishing, and forestry workers	Farming, fishing, and forestry occupations	1,184	23.4
First-line supervisor of gaming workers	208	44.3	First-line supervisors of gaming workers	Personal care and service occupations	5,939	76.1
First-line supervisor of groundskeeping workers	255	8	First-line supervisors of landscaping, lawn service, and groundskeeping workers	Building and grounds cleaning and maintenance occupations	5,888	40.7
First-line supervisor of housekeeping workers	326	41.1	First-line supervisors of housekeeping and janitorial workers	Building and grounds cleaning and maintenance occupations	5,888	40.7
First-line supervisor of installers	253	8.4	First-line supervisors of mechanics, installers, and repairers	Installation, maintenance, and repair occupations	4,977	4
First-line supervisor of janitorial workers	326	41.1	First-line supervisors of housekeeping and janitorial workers	Building and grounds cleaning and maintenance occupations	5,888	40.7
First-line supervisor of landscaping workers	255	8	First-line supervisors of landscaping, lawn service, and groundskeeping workers	Building and grounds cleaning and maintenance occupations	5,888	40.7
First-line supervisor of lawn service workers	255	8	First-line supervisors of landscaping, lawn service, and groundskeeping workers	Building and grounds cleaning and maintenance occupations	5,888	40.7
First-line supervisor of mechanics	253	8.4	First-line supervisors of mechanics, installers, and repairers	Installation, maintenance, and repair occupations	4,977	4
First-line supervisor of non-retail sales workers	1,220	30	First-line supervisors of non-retail sales workers	Sales and related occupations	15,815	49.1
First-line supervisor of office support workers	1,425	70.1	First-line supervisors of office and administrative support workers	Office and administrative support occupations	17,751	72.2
First-line supervisor of operating workers	768	19.1	First-line supervisors of production and operating workers	Production occupations	8,482	28.9
First-line supervisor of personal service workers	232	66.2	First-line supervisors of personal service workers	Personal care and service occupations	5,939	76.1
First-line supervisor of police	95	12.5	First-line supervisors of police and detectives	Protective service occupations	3,113	22.3
